id,area,relativeArea,perimeter,compactness,surfaceType,nx,ny,nz,centerZ,meanCurvature,radius,numWires,numEdges,neighbors,edge_types,label
772,7.63725,0.0564324,23.3227,5.66776,0,-1,0,0,-1.04987,0,0,1,15,"","",1
773,4.7114,0.034813,15.4214,4.01686,1,-1.03412e-13,-1,0,-2.34178,-0.223073,2.24142,1,4,"","",1
774,1.88456,0.0139252,9.80646,4.06073,1,-0,-0.707107,0.707107,-1.90999,-1.86824,0.267632,1,4,"","",1
775,3.76912,0.0278504,10.6472,2.39345,1,-0,0.707107,0.707107,-1.81273,-0.934119,0.535264,1,4,"","",1
776,4.799,0.0354603,11.1067,2.04556,0,0,0,1,2.67632,0,0,1,4,"","",1
777,6.47565,0.0478492,11.4501,1.61112,0,-0,1,-0,-0.747693,0,0,1,6,"","",1
778,15.2968,0.11303,15.7903,1.29709,0,0,-1,0,-0.033454,0,0,1,4,"","",1
779,4.43678,0.0327838,17.6999,5.61905,0,0,0,1,-2.00724,0,0,1,8,"","",1
780,2.99937,0.0221627,10.3038,2.8168,0,0,0,1,-2.00724,0,0,1,4,"","",1
781,0.00569496,4.20806e-05,0.344938,1.66258,0,0,-1,0,-2.61552,0,0,1,3,"","",1
782,0.00569496,4.20806e-05,0.344938,1.66258,0,-4.28355e-15,-1,0,-1.94644,0,0,1,3,"","",1
783,6.41133,0.047374,114.915,163.906,6,-0.0102488,0.5444,0.838763,-2.25037,0.164061,0,1,5,"","",1
784,6.39548,0.0472568,114.915,164.312,6,0.0102488,0.5444,-0.838763,-2.31167,0.164061,0,1,4,"","",1
785,0.651479,0.00481385,21.5515,56.7344,1,0.999999,0.00159531,-0,-1.9667,-0.293057,1.70615,1,5,"","",1
786,3.3934,0.0250742,10.4796,2.57541,0,0,-0.707107,-0.707107,1.94033,0,0,1,4,"","",1
787,2.09956,0.0155139,9.90238,3.71656,0,-0,-1,-0,2.44214,0,0,1,4,"","",1
788,7.63725,0.0564324,23.3227,5.66776,0,1,-0,-0,-1.04987,0,0,1,15,"","",1
789,0.609932,0.00450685,118.06,1818.51,1,-0.00159531,0.999999,-0,-2.65168,-0.293057,1.70615,1,5,"","",1
790,20.7919,0.153634,32.08,3.9388,0,-0,-0,-1,-2.67632,0,0,2,5,"","",1
791,23.995,0.177301,19.6709,1.28328,0,-0,1,-0,6.07153e-17,0,0,1,4,"","",1
792,1.66892,0.0123318,5.7919,1.59955,1,-0,-0.707107,0.707107,-1.52098,-0.373648,1.33816,1,4,"","",1
793,0.00034191,9.90571e-06,0.173807,7.03096,0,0.800725,3.37626e-16,-0.599032,-0.246166,0,0,1,4,"","",1
794,10.0632,0.291547,39.6656,12.4418,1,1.90254e-13,1,-0,0.0189912,-0.267747,1.86743,6,30,"","",1
795,0.180002,0.00521496,3.98311,7.01388,2,-0.0129855,0.756542,0.653816,-2.43484,-0.829765,0.278277,1,8,"","",1
796,0.0800299,0.0023186,2.63342,6.8957,6,0.00138787,-0.00817352,-0.999966,-1.75485,-21.6426,0,1,11,"","",1
797,0.0019976,5.78739e-05,0.245912,2.40903,0,-0.776308,-3.37626e-16,-0.630354,-2.00794,-0,0,1,5,"","",1
798,0.00034191,9.90571e-06,0.173807,7.03096,0,0.800725,3.37626e-16,-0.599032,-1.99212,0,0,1,4,"","",1
799,0.465102,0.0134748,4.09795,2.87327,1,-2.06823e-13,-0,1,-0.635038,-1.46058,0.34233,1,24,"","",1
800,1.04555e-05,3.02912e-07,0.0134011,1.36687,1,-0.595724,0,-0.803189,-0.279207,-1.46058,0.34233,1,4,"","",1
801,0.00013285,3.84888e-06,0.0585082,2.05051,1,-0.609114,-0,0.793082,3.93232,-1.46058,0.34233,1,5,"","",1
802,1.04555e-05,3.02912e-07,0.0134011,1.36687,1,-0.595724,0,-0.803189,-2.02516,-1.46058,0.34233,1,4,"","",1
803,0.000189488,5.48979e-06,0.0723528,2.19846,1,0.611556,-0,-0.791201,-0.284947,-1.46058,0.34233,1,4,"","",1
804,0.0800299,0.0023186,2.63342,6.8957,6,0.00138787,-0.00817352,-0.999966,-0.0088944,-21.6426,0,1,11,"","",1
805,8.33169,0.241383,39.6623,15.0249,1,9.18108e-11,-1,-0,0.0353405,-0.32768,1.52588,6,90,"","",1
