model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,21,301,83336.480772,1072.195566 23559.480200 1062.321159,seed_component,8,F303 F304 F305 F306 F307 F308 F309 F310,264723.347513 520404.648334 690345.135634 500056.791105 252167.753856 499979.970365 690247.947172 520367.997134,0.000000 25893.726865 775.952148;-9070.579986 25971.886597 819.452148;0.000000 26015.386597 955.146557;-9070.579986 25971.886597 1090.840965;0.000000 25893.726865 1134.340965;-9070.579986 25815.567133 1090.840965;0.000000 25772.067133 955.146557;-9070.579986 25815.567133 819.452148,47.257738,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,22,311,83301.128010,1072.195566 26055.131964 1062.321159,seed_component,8,F313 F314 F315 F316 F317 F318 F319 F320,264786.907974 520560.337140 690669.364873 500371.331199 252319.669922 500233.633119 690489.355769 520492.513307,0.000000 26403.758505 775.952148;-9070.579986 26481.918237 819.452148;0.000000 26525.418237 955.146557;-9070.579986 26481.918237 1090.840965;0.000000 26403.758505 1134.340965;-9070.579986 26325.598773 1090.840965;0.000000 26282.098773 955.146557;-9070.579986 26325.598773 819.452148,47.297356,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,23,321,83237.566816,1072.195566 26055.131964 1062.321159,seed_component,8,F323 F324 F325 F326 F327 F328 F329 F330,264907.056977 520855.528491 691277.638599 500954.706866 252601.261803 500704.726273 690939.732006 520726.253297,0.000000 26913.790145 775.952148;-9070.579986 26991.949877 819.452148;0.000000 27035.449877 955.146557;-9070.579986 26991.949877 1090.840965;0.000000 26913.790145 1134.340965;-9070.579986 26835.630413 1090.840965;0.000000 26792.130413 955.146557;-9070.579986 26835.630413 819.452148,47.370040,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,24,331,83130.437916,1072.195566 26055.131964 1062.321159,seed_component,8,F333 F334 F335 F336 F337 F338 F339 F340,265138.535147 521419.992474 692409.637730 502014.229996 253113.236435 501569.385985 691785.313655 521174.538709,0.000000 27423.821785 775.952148;-9070.579986 27501.981517 819.452148;0.000000 27545.481517 955.146557;-9070.579986 27501.981517 1090.840965;0.000000 27423.821785 1134.340965;-9070.579986 27345.662053 1090.840965;0.000000 27302.162053 955.146557;-9070.579986 27345.662053 819.452148,47.499147,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,25,341,82972.757223,1072.195566 28656.231949 1062.321159,seed_component,8,F343 F344 F345 F346 F347 F348 F349 F350,265543.514729 522341.518832 694187.550658 503670.579762 253949.006461 503041.919917 693289.839004 521986.970000,0.000000 27933.853425 775.952148;-9070.579986 28012.013157 819.452148;0.000000 28055.513157 955.146557;-9070.579986 28012.013157 1090.840965;0.000000 27933.853425 1134.340965;-9070.579986 27855.693693 1090.840965;0.000000 27812.193693 955.146557;-9070.579986 27855.693693 819.452148,47.702536,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,26,351,82770.064741,1072.195566 28656.231949 1062.321159,seed_component,8,F353 F354 F355 F356 F357 F358 F359 F360,265712.528210 522494.871432 694941.190825 504783.785397 254683.917001 504587.816931 694895.807598 522655.456601,0.000000 28443.885065 775.952148;-9070.579986 28522.044797 819.452148;0.000000 28565.544797 955.146557;-9070.579986 28522.044797 1090.840965;0.000000 28443.885065 1134.340965;-9070.579986 28365.725333 1090.840965;0.000000 28322.225333 955.146557;-9070.579986 28365.725333 819.452148,47.900837,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,27,361,82544.526349,1072.195566 28656.231949 1062.321159,seed_component,8,F363 F364 F365 F366 F367 F368 F369 F370,264668.397110 520043.815223 692267.850703 503561.164534 254369.726667 504328.922789 694056.132363 521258.473426,0.000000 28953.916705 775.952148;-9070.579986 29032.076437 819.452148;0.000000 29075.576437 955.146557;-9070.579986 29032.076437 1090.840965;0.000000 28953.916705 1134.340965;-9070.579986 28875.756973 1090.840965;0.000000 28832.256973 955.146557;-9070.579986 28875.756973 819.452148,47.908137,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,28,371,82325.840592,1072.195566 30218.666662 1071.374706,seed_component,8,F373 F374 F375 F376 F377 F378 F379 F380,262008.027193 514435.276351 685501.787636 499417.570917 252591.527049 501204.941566 689212.673473 516741.039076,0.000000 29463.948345 775.952148;-9070.579986 29542.108077 819.452148;0.000000 29585.608077 955.146557;-9070.579986 29542.108077 1090.840965;0.000000 29463.948345 1134.340965;-9070.579986 29385.788613 1090.840965;0.000000 29342.288613 955.146557;-9070.579986 29385.788613 819.452148,47.629187,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,29,381,82126.245906,1072.195566 30218.666662 1071.374706,seed_component,8,F383 F384 F385 F386 F387 F388 F389 F390,257877.445512 506012.789236 675081.509385 492627.827132 249452.883926 495320.766393 680487.486627 509274.350857,0.000000 29973.979985 775.952148;-9070.579986 30052.139717 819.452148;0.000000 30095.639717 955.146557;-9070.579986 30052.139717 1090.840965;0.000000 29973.979985 1134.340965;-9070.579986 29895.820253 1090.840965;0.000000 29852.320253 955.146557;-9070.579986 29895.820253 819.452148,47.075512,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,30,391,81963.307279,1072.195566 30218.666662 1071.374706,seed_component,8,F393 F394 F395 F396 F397 F398 F399 F400,252400.297870 494968.277328 661222.292679 483344.643507 245049.927552 486914.641982 668260.633041 499147.216813,0.000000 30484.011625 775.952148;-9070.579986 30562.171357 819.452148;0.000000 30605.671357 955.146557;-9070.579986 30562.171357 1090.840965;0.000000 30484.011625 1134.340965;-9070.579986 30405.851893 1090.840965;0.000000 30362.351893 955.146557;-9070.579986 30405.851893 819.452148,46.256161,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,31,401,83355.995630,1072.195566 23559.480200 1062.321159,seed_component,8,F403 F404 F405 F406 F407 F408 F409 F410,264688.344328 520319.542620 690168.410033 499884.985796 252084.296683 499839.927773 690114.382197 520299.118950,0.000000 25383.695225 775.952148;-9070.579986 25461.854957 819.452148;0.000000 25505.354957 955.146557;-9070.579986 25461.854957 1090.840965;0.000000 25383.695225 1134.340965;-9070.579986 25305.535493 1090.840965;0.000000 25262.035493 955.146557;-9070.579986 25305.535493 819.452148,47.235942,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,32,411,83366.723094,1072.195566 23559.480200 1062.321159,seed_component,8,F413 F414 F415 F416 F417 F418 F419 F420,264669.106466 520272.501277 690070.689291 499790.179702 252038.504384 499763.683664 690041.888918 520261.583540,0.000000 24873.663585 775.952148;-9070.579986 24951.823317 819.452148;0.000000 24995.323317 955.146557;-9070.579986 24951.823317 1090.840965;0.000000 24873.663585 1134.340965;-9070.579986 24795.503853 1090.840965;0.000000 24752.003853 955.146557;-9070.579986 24795.503853 819.452148,47.223976,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,33,421,83372.176499,1072.195566 23559.480200 1062.321159,seed_component,8,F423 F424 F425 F426 F427 F428 F429 F430,264659.331402 520248.108313 690019.746657 499741.089213 252015.257056 499725.847863 690006.245894 520242.961708,0.000000 24363.631945 775.952148;-9070.579986 24441.791677 819.452148;0.000000 24485.291677 955.146557;-9070.579986 24441.791677 1090.840965;0.000000 24363.631945 1134.340965;-9070.579986 24285.472213 1090.840965;0.000000 24241.972213 955.146557;-9070.579986 24285.472213 819.452148,47.217894,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,34,431,83374.473156,1072.195566 23559.480200 1062.321159,seed_component,8,F433 F434 F435 F436 F437 F438 F439 F440,264655.225418 520237.367953 689997.021095 499719.516298 252005.496187 499710.778127 689992.362063 520235.558611,0.000000 23853.600305 775.952148;-9070.579986 23931.760037 819.452148;0.000000 23975.260037 955.146557;-9070.579986 23931.760037 1090.840965;0.000000 23853.600305 1134.340965;-9070.579986 23775.440573 1090.840965;0.000000 23731.940573 955.146557;-9070.579986 23775.440573 819.452148,47.215331,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,35,441,83375.060765,1072.195566 23559.480200 1062.321159,seed_component,8,F443 F444 F445 F446 F447 F448 F449 F450,264654.158935 520234.191261 689990.062213 499713.163033 252002.961305 499707.425069 689989.484869 520233.922711,0.000000 23343.568665 775.952148;-9070.579986 23421.728397 819.452148;0.000000 23465.228397 955.146557;-9070.579986 23421.728397 1090.840965;0.000000 23343.568665 1134.340965;-9070.579986 23265.408933 1090.840965;0.000000 23221.908933 955.146557;-9070.579986 23265.408933 819.452148,47.214663,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,36,451,83375.104320,1072.195566 21868.012658 1040.716095,seed_component,8,F453 F454 F455 F456 F457 F458 F459 F460,264654.111928 520233.945601 689989.449951 499712.679734 252002.849580 499707.355974 689989.449951 520233.891025,0.000000 22833.537025 775.952148;-9070.579986 22911.696757 819.452148;0.000000 22955.196757 955.146557;-9070.579986 22911.696757 1090.840965;0.000000 22833.537025 1134.340965;-9070.579986 22755.377293 1090.840965;0.000000 22711.877293 955.146557;-9070.579986 22755.377293 819.452148,47.214618,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,37,461,83375.104433,1072.195566 21868.012658 1040.716095,seed_component,8,F463 F464 F465 F466 F467 F468 F469 F470,264654.111928 520233.945575 689989.449951 499712.679699 252002.849580 499707.355934 689989.449951 520233.891005,0.000000 22323.505385 775.952148;-9070.579986 22401.665117 819.452148;0.000000 22445.165117 955.146557;-9070.579986 22401.665117 1090.840965;0.000000 22323.505385 1134.340965;-9070.579986 22245.345653 1090.840965;0.000000 22201.845653 955.146557;-9070.579986 22245.345653 819.452148,47.214618,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,38,471,83375.091303,1072.195566 21868.012658 1040.716095,seed_component,8,F473 F474 F475 F476 F477 F478 F479 F480,264654.111928 520233.945608 689989.449951 499712.679416 252002.849580 499707.357857 689989.449951 520233.891098,0.000000 21813.473745 775.952148;-9070.579986 21891.633477 819.452148;0.000000 21935.133477 955.146557;-9070.579986 21891.633477 1090.840965;0.000000 21813.473745 1134.340965;-9070.579986 21735.314013 1090.840965;0.000000 21691.814013 955.146557;-9070.579986 21735.314013 819.452148,47.214626,0 6 0 6 0 6 0 6,seed_topology
90- 737-800 stp_airplane boeing 737-800_wing_rivets.step,39,481,83375.105950,1072.195566 21868.012658 1040.716095,seed_component,8,F483 F484 F485 F486 F487 F488 F489 F490,264654.111928 520233.945711 689989.449951 499712.679858 252002.849580 499707.359463 689989.449951 520233.891297,0.000000 21303.442105 775.952148;-9070.579986 21381.601837 819.452148;0.000000 21425.101837 955.146557;-9070.579986 21381.601837 1090.840965;0.000000 21303.442105 1134.340965;-9070.579986 21225.282373 1090.840965;0.000000 21181.782373 955.146557;-9070.579986 21225.282373 819.452148,47.214618,0 6 0 6 0 6 0 6,seed_topology
